Date.Day,Date.Full,Date.Month,Date.Year,Show.Name,Show.Theatre,Show.Type,Statistics.Attendance,Statistics.Capacity,Statistics.Gross,Statistics.Gross Potential,Statistics.Performances
14,9/14/2014,9,2014,A Gentleman'S Guide To Love And Murder,Walter Kerr,Musical,7257,100,848790,95,8
14,9/14/2014,9,2014,Aladdin,New Amsterdam,Musical,13616,99,1312257,99,8
14,9/14/2014,9,2014,Beautiful,Stephen Sondheim,Musical,8215,100,1300961,101,8
14,9/14/2014,9,2014,Cabaret '14,Studio 54,Musical,5946,83,643502,64,8
14,9/14/2014,9,2014,Chicago,Ambassador,Musical,7874,91,619784,62,8
14,9/14/2014,9,2014,Cinderella,Broadway,Musical,8506,61,598979,37,8
14,9/14/2014,9,2014,Hedwig And The Angry Inch,Belasco,Musical,5705,71,524687,61,8
14,9/14/2014,9,2014,If/Then,Richard Rodgers,Musical,9045,86,698918,54,8
14,9/14/2014,9,2014,It'S Only A Play,Schoenfeld,Play,8569,100,1230603,110,0
14,9/14/2014,9,2014,Jersey Boys,August Wilson,Musical,8561,87,848378,74,8
14,9/14/2014,9,2014,Kinky Boots,Al Hirschfeld,Musical,11168,98,1228758,83,8
14,9/14/2014,9,2014,Lady Day At Emerson'S Bar & Grill,Circle In The Square,Play,5245,96,652702,90,8
14,9/14/2014,9,2014,Les Miserables '14,Imperial,Musical,10034,89,813225,67,8
14,9/14/2014,9,2014,Love Letters 2014,Brooks Atkinson,Play,1375,64,54749,24,0
14,9/14/2014,9,2014,Mamma Mia!,Broadhurst,Musical,8481,91,659092,59,8
14,9/14/2014,9,2014,Matilda,Shubert,Musical,10050,88,805004,63,8
14,9/14/2014,9,2014,Motown The Musical,Lunt-Fontanne,Musical,11108,92,1026470,72,8
14,9/14/2014,9,2014,Once,Jacobs,Musical,6129,72,467069,51,8
14,9/14/2014,9,2014,Pippin,Music Box,Musical,7101,90,552516,53,8
14,9/14/2014,9,2014,Rock Of Ages,Helen Hayes,Musical,3985,85,323441,60,8
14,9/14/2014,9,2014,The Book Of Mormon,Eugene O'Neill,Musical,8741,102,1555886,112,8
14,9/14/2014,9,2014,The Country House,Friedman,Play,3704,81,198383,38,0
14,9/14/2014,9,2014,The Curious Incident Of The Dog In The Night-Time,Ethel Barrymore,Play,3801,93,288614,66,0
14,9/14/2014,9,2014,The Lion King,Minskoff,Musical,13478,99,1725567,94,8
14,9/14/2014,9,2014,The Phantom Of The Opera,Majestic,Musical,11522,90,897140,59,8
14,9/14/2014,9,2014,This Is Our Youth,Cort,Play,7164,84,372793,50,5
14,9/14/2014,9,2014,Wicked,Gershwin,Musical,14352,99,1462840,87,8
14,9/14/2014,9,2014,You Can'T Take It With You,Longacre,Play,7481,87,542918,57,0
21,9/21/2014,9,2014,A Gentleman'S Guide To Love And Murder,Walter Kerr,Musical,7289,100,915495,103,8
21,9/21/2014,9,2014,Aladdin,New Amsterdam,Musical,13475,98,1276833,96,8
21,9/21/2014,9,2014,Beautiful,Stephen Sondheim,Musical,8261,101,1295796,101,8
21,9/21/2014,9,2014,Cabaret '14,Studio 54,Musical,5570,78,657828,65,8
21,9/21/2014,9,2014,Chicago,Ambassador,Musical,6513,75,528307,53,8
21,9/21/2014,9,2014,Cinderella,Broadway,Musical,6732,48,466579,39,8
21,9/21/2014,9,2014,Hedwig And The Angry Inch,Belasco,Musical,6127,87,572955,76,7
21,9/21/2014,9,2014,If/Then,Richard Rodgers,Musical,8927,85,675958,52,8
21,9/21/2014,9,2014,It'S Only A Play,Schoenfeld,Play,8623,101,1277059,115,0
21,9/21/2014,9,2014,Jersey Boys,August Wilson,Musical,8300,84,868591,76,8
21,9/21/2014,9,2014,Kinky Boots,Al Hirschfeld,Musical,11086,97,1323036,89,8
